pub_year,pub_date,aid,institution,name,author_age,first_pub_year,last_pub_year,yearly_collabo,all_times_collabo,acquaintance,shared_institutions,coauth_aid,coauth_name,coauth_age,coauth_min_year,age_diff,age_bucket,age_std
1999,1999-05-11,A5040821463,Massachusetts Institute of Technology,Peter Sheridan Dodds,0,1999,2025,1,1,new_collab,Massachusetts Institute of Technology,A5109969840,Daniel H. Rothman,16.0,1983.0,16.0,much_older,1000-05-11
2000,2000-12-28,A5040821463,Massachusetts Institute of Technology,Peter Sheridan Dodds,1,1999,2025,6,7,existing_collab,Massachusetts Institute of Technology,A5109969840,Daniel H. Rothman,17.0,1983.0,16.0,much_older,1001-12-28
2000,2000-12-13,A5040821463,Massachusetts Institute of Technology,Peter Sheridan Dodds,1,1999,2025,1,1,new_collab,Massachusetts Institute of Technology,A5020490780,Joshua S. Weitz,30.0,1970.0,29.0,much_older,1001-12-13
2001,2001-03-03,A5040821463,Massachusetts Institute of Technology,Peter Sheridan Dodds,2,1999,2025,1,1,new_collab,Massachusetts Institute of Technology,A5007934989,Nick Bowles,7.0,1994.0,5.0,same_age,1002-03-03
2001,2001-04-14,A5040821463,Massachusetts Institute of Technology,Peter Sheridan Dodds,2,1999,2025,1,1,new_collab,Massachusetts Institute of Technology,A5040248352,D. Rothman,30.0,1971.0,28.0,much_older,1002-04-14
2001,2001-03-03,A5040821463,Massachusetts Institute of Technology,Peter Sheridan Dodds,2,1999,2025,1,2,existing_collab,Massachusetts Institute of Technology,A5020490780,Joshua S. Weitz,31.0,1970.0,29.0,much_older,1002-03-03
2002,2002-05-08,A5040821463,Earth Island Institute,Peter Sheridan Dodds,3,1999,2025,1,2,existing_collab,Earth Island Institute,A5007934989,Nick Bowles,8.0,1994.0,5.0,same_age,1003-05-08
2002,2002-05-08,A5040821463,Earth Island Institute,Peter Sheridan Dodds,3,1999,2025,1,1,new_collab,Earth Island Institute,A5000679279,Duncan J. Watts,4.0,1998.0,1.0,same_age,1003-05-08
2002,2002-05-08,A5040821463,Earth Island Institute,Peter Sheridan Dodds,3,1999,2025,1,1,new_collab,Earth Island Institute,A5067142016,M. E. J. Newman,39.0,1963.0,36.0,much_older,1003-05-08
2002,2002-05-08,A5040821463,Earth Island Institute,Peter Sheridan Dodds,3,1999,2025,1,3,existing_collab,Earth Island Institute,A5020490780,Joshua S. Weitz,32.0,1970.0,29.0,much_older,1003-05-08
2003,2003-08-09,A5040821463,Columbia University,Peter Sheridan Dodds,4,1999,2025,2,3,existing_collab,Columbia University,A5000679279,Duncan J. Watts,5.0,1998.0,1.0,same_age,1004-08-09
2003,2003-02-14,A5040821463,Columbia University,Peter Sheridan Dodds,4,1999,2025,1,1,new_collab,Columbia University,A5045935220,Charles F. Sabel,25.0,1978.0,21.0,much_older,1004-02-14
2003,2003-01-14,A5040821463,Columbia University,Peter Sheridan Dodds,4,1999,2025,1,1,new_collab,Columbia University,A5001893057,Roby Muhamad,4.0,1999.0,0.0,same_age,1004-01-14
2003,2003-02-14,A5040821463,Columbia University,Peter Sheridan Dodds,4,1999,2025,1,1,new_collab,Columbia University,A5001328411,Michael Sergi,-5.0,2008.0,-9.0,younger,1004-02-14
2003,2003-10-08,A5040821463,Columbia University,Peter Sheridan Dodds,4,1999,2025,1,4,existing_collab,Columbia University,A5020490780,Joshua S. Weitz,33.0,1970.0,29.0,much_older,1004-10-08
2003,2003-01-01,A5040821463,Columbia University,Peter Sheridan Dodds,4,1999,2025,1,1,new_collab,Columbia University,A5052114337,ML Henninger,0.0,2003.0,-4.0,same_age,1004-01-01
2003,2003-02-14,A5040821463,Columbia University,Peter Sheridan Dodds,4,1999,2025,1,1,new_collab,Columbia University,A5005607685,KG Patton,1.0,2002.0,-3.0,same_age,1004-02-14
2003,2003-10-08,A5040821463,Columbia University,Peter Sheridan Dodds,4,1999,2025,1,1,new_collab,Columbia University,A5058626878,Karen Pagnano,2.0,2001.0,-2.0,same_age,1004-10-08
2003,2003-10-08,A5040821463,Columbia University,Peter Sheridan Dodds,4,1999,2025,1,1,new_collab,Columbia University,A5077283928,LL Griffin,7.0,1996.0,3.0,same_age,1004-10-08
2004,2004-05-27,A5040821463,Columbia University,Peter Sheridan Dodds,5,1999,2025,2,5,existing_collab,Columbia University,A5000679279,Duncan J. Watts,6.0,1998.0,1.0,same_age,1005-05-27
2005,2005-08-16,A5040821463,Columbia University,Peter Sheridan Dodds,6,1999,2025,1,1,new_collab,Columbia University,A5058815871,Matthew Salganik,1.0,2004.0,-5.0,same_age,1006-08-16
