ego_aid,name,pub_date,pub_year,title,cited_by_count,doi,wid,authors,work_type,ego_age,nb_coauthors
A5040821463,Peter Sheridan Dodds,2025-01-31,2025,"misrepresentation of overall and by-gender mortality causes in film using online, crowd-sourced data: quantitative analysis (preprint)",0,https://doi.org/10.2196/70853,W4409977813,"Calla Beauregard, Christopher M. Danforth, Peter Sheridan Dodds",article,26.0,3
A5040821463,Peter Sheridan Dodds,2025-01-03,2025,an assessment of measuring local levels of homelessness through proxy social media signals,0,https://doi.org/10.5206/ijoh.2023.3.16467,W4405988742,"Yoshi M. Bird, Sarah E. Grobe, Matthew Arnold, Sean Rogers, Mikaela Irene Fudolig, Julia Zimmerman, Christopher M. Danforth, Peter Sheridan Dodds",article,26.0,8
A5040821463,Peter Sheridan Dodds,2024-12-26,2024,"collective sleep and activity patterns of college students from wearable
  devices",0,https://doi.org/10.48550/arxiv.2412.17969,W4405783706,"Mikaela Irene Fudolig, Laura S. P. Bloomfield, Matthew Price, Yoshi M. Bird, Johanna E. Hidalgo, Julia Kim, Jordan Llorin, Juniper Lovato, Ellen W. McGinnis, Ryan S. McGinnis, Taylor H. Ricketts, Kathryn Stanton, Peter Sheridan Dodds, Christopher M. Danforth",preprint,25.0,14
A5040821463,Peter Sheridan Dodds,2024-12-18,2024,"tokens, the oft-overlooked appetizer: large language models, the
  distributional hypothesis, and meaning",0,https://doi.org/10.48550/arxiv.2412.10924,W4405468714,"Julia Witte Zimmerman, Denis Hudon, Kathryn E. Cramer, Alejandro J. Ruiz, Calla Beauregard, Ashley Fehr, Mikaela Irene Fudolig, Bradford Demarest, Yoshi Meke Bird, Milo Z. Trujillo, Christopher M. Danforth, Peter Sheridan Dodds",preprint,25.0,12
A5040821463,Peter Sheridan Dodds,2024-11-15,2024,meeting people where they are: crowdsourcing goal-specific personalized wellness practices,0,https://doi.org/10.1371/journal.pdig.0000650,W4404521707,"Johanna Hidalgo, Julia Kim, Jordan Llorin, Kathryn Stanton, Josh Cherian, Laura S. P. Bloomfield, Mikaela Irene Fudolig, Matthew Price, Jennifer Ha, Natalie Noble, Christopher M. Danforth, Peter Sheridan Dodds, Jason Fanning, Ryan S. McGinnis, Ellen W. McGinnis",article,25.0,15
A5040821463,Peter Sheridan Dodds,2024-11-05,2024,"hollywood's misrepresentation of death: a comparison of overall and
  by-gender mortality causes in film and the real world",0,https://doi.org/10.48550/arxiv.2411.10040,W4404569384,"Calla Beauregard, Christopher M. Danforth, Peter Sheridan Dodds",preprint,25.0,3
A5040821463,Peter Sheridan Dodds,2024-10-20,2024,"foregrounding artist opinions: a survey study on transparency, ownership, and fairness in ai generative art",3,https://doi.org/10.1609/aies.v7i1.31691,W4404518214,"Juniper Lovato, Julia Witte Zimmerman, Isabelle Smith, Peter Sheridan Dodds, Jennifer Karson",article,25.0,5
A5040821463,Peter Sheridan Dodds,2024-10-15,2024,predictors of anxiety trajectories in cohort of first-year college students,0,https://doi.org/10.1016/j.jaacop.2024.08.004,W4403482284,"Laura S. P. Bloomfield, Mikaela Irene Fudolig, Julia N. Kim, Jordan Llorin, Juniper Lovato, Ellen W. McGinnis, Ryan S. McGinnis, Matthew Price, Taylor H. Ricketts, Peter Sheridan Dodds, Kathryn Stanton, Christopher M. Danforth",article,25.0,12
A5040821463,Peter Sheridan Dodds,2024-08-30,2024,a quantitative analysis of the affirmative furtherance of fair housing in the housing choice voucher program,0,https://doi.org/10.31235/osf.io/reh75,W4402007193,"Yoshi M. Bird, Ashley Fehr, Julia Witte Zimmerman, Mikaela Irene Fudolig, Sarah E. Grobe, Michael Arnold, Christopher M. Danforth, Peter Sheridan Dodds",preprint,25.0,8
A5040821463,Peter Sheridan Dodds,2024-07-02,2024,the two fundamental shapes of sleep heart rate dynamics and their connection to mental health in college students,2,https://doi.org/10.1159/000539487,W4400760422,"Mikaela Irene Fudolig, Laura S. P. Bloomfield, Matthew Price, Yoshi M. Bird, Johanna Hidalgo, Julia N. Kim, Jordan Llorin, Juniper Lovato, Ellen W. McGinnis, Ryan S. McGinnis, Taylor H. Ricketts, Kathryn Stanton, Peter Sheridan Dodds, Christopher M. Danforth",article,25.0,14
