ego_aid,name,pub_date,pub_year,title,cited_by_count,doi,wid,authors,work_type,ego_age,nb_coauthors
A5040821463,Peter Sheridan Dodds,2015-02-13,2015,human language reveals a universal positivity bias,363,https://doi.org/10.1073/pnas.1411678112,W2022792389,"Peter Sheridan Dodds, Eric M. Clark, Suma Desu, Morgan R. Frank, Andrew J. Reagan, Jake Ryland Williams, Lewis Mitchell, Kameron Decker Harris, Isabel M. Kloumann, James P. Bagrow, Karine Megerdoomian, Matthew T. McMahon, Brian F. Tivnan, Christopher M. Danforth",article,16.0,14
A5000554558,Bryan A. Ballif,2001-08-14,2001,molecular mechanisms mediating mammalian mitogen-activated protein kinase (mapk) kinase (mek)-mapk cell survival signals.,426,,W2117852040,"Bryan A. Ballif, John Blenis",article,5.0,2
A5053327116,Mads Almassalkhi,2022-01-29,2022,statistical modeling and forecasting of automatic generation control signals,0,https://doi.org/10.48550/arxiv.2205.07401,W4280600714,"Sarnaduti Brahma, Hamid R. Ossareh, Mads Almassalkhi",preprint,11.0,3
A5078803587,Matthew D. Liptak,2023-01-27,2023,thermochemical evaluation of cast iron slags generated from a holding furnace,3,https://doi.org/10.1007/s40962-022-00947-x,W4313829990,"Cathrine Hartung, Matthew D. Liptak, Robert K. Logan, Leander Michels",article,39.0,4
A5019605511,Julie A. Dumas,2018-03-26,2018,novel cognitive enhancement strategies in aging: integrating computerized and pharmacologic approaches,0,https://doi.org/10.1016/j.jagp.2018.01.045,W2792314753,"Faith M. Gunning, Julie A. Dumas, Paul Newhouse",article,17.0,3
A5023858070,Mary Cushman,2024-02-19,2024,demographic and clinical factors associated with sars-cov-2 spike 1 antibody response among vaccinated us adults: the c4r study,0,https://doi.org/10.17615/b3fj-pt82,W4403241142,"John S. Kim, Yifei Sun, Pallavi Balte, Mary Cushman, Rebekah Boyle, Russell P. Tracy, Linda M. Styer, Taison D. Bell, Michaela R. Anderson, Norrina B. Allen, Pamela J. Schreiner, Russell P. Bowler, David A. Schwartz, Joyce Lee, Vanessa Xanthakis, Margaret F. Doyle, Elizabeth A. Regan, Barry J. Make, Alka M. Kanaya, Sally E. Wenzel, Josef Coresh, Carmen R. Isasi, Laura M. Raffield, Mitchell S.V. Elkind, Virginia J. Howard, Victor E. Ortega, Prescott G. Woodruff, Shelley A. Cole, Joel Henderson, Nicholas J. Mantis, Monica M. Parker, Ryan T. Demmer, Elizabeth C. Oelsner",article,50.0,33
A5085232359,Nicholas J. Gotelli,2022-10-12,2022,simple null model analysis subsumes a new species co‐occurrence index: a comment on mainali et al. (2022),2,https://doi.org/10.1111/jbi.14486,W4299804829,"Werner Ulrich, Spyros Sfenthourakis, Giovanni Strona, Nicholas J. Gotelli",article,40.0,4
A5042896751,Seth Frietze,2012-09-28,2012,an integrated encyclopedia of dna elements in the human genome,2749,,W2519244818,"Ian Dunham, Anshul Kundaje, Shelley Force Aldred, Patrick Collins, Carrie Davis, Francis Doyle, Charles B. Epstein, Seth Frietze, Jennifer Harrow, Rajinder Kaul, Jainab Khatun, Bryan R. Lajoie, Stephen G. Landt, Bumkyu Lee, Florencia Pauli, Kate R. Rosenbloom, Peter J. Sabo, Alexias Safi, Amartya Sanyal, Noam Shoresh, Jeremy M. Simon, Lingyun Song, Nathan D. Trinklein, Robert C. Altshuler, Ewan Birney, James B. Brown, Chao Cheng, Sarah Djebali, Xianjun Dong, Jason Ernst, Terrence S. Furey, Mark Gerstein, Belinda Giardine, Melissa C. Greven, Ross C. Hardison, Robert S. Harris, Javier Herrero, Michael M. Hoffman, Sowmya Iyer, Manolis Kellis, Pouya Kheradpour, Timo Lassmann, Qunhua Li, Xin-Ying Lin, Georgi K. Marinov, Angelika Merkel, A Mortazavi, Stephen C. J. Parker, Timothy E. Reddy, Joel Rozowsky, Felix Schlesinger, Robert E. Thurman, Jie Wang, Lucas D. Ward, Troy W. Whitfield, Steven P. Wilder, Wei-Sheng Wu, Hualin Simon Xi, Kevin Y. Yip, Jiali Zhuang, B Bernstein, Eric D. Green, Chris Gunter, M Snyder, Michael J. Pazin, Rebecca F. Lowdon, Laura A. L. Dillon, Leslie B. Adams, Caroline J. Kelly, Julia Zhang, Judith R. Wexler, Peter J. Good, Elise A. Feingold, Gregory E. Crawford, Job Dekker, Laura Elnitski, Peggy Farnham, Morgan C. Giddings, T Gingeras, Roderic Guigó, Timothy J. Hubbard, W. James Kent, Jason D. Lieb, Elliott H. Margulies, R Myers, J Stamatoyannopoulos, Scott A. Tenenbaum, Zhiping Weng, Kevin P. White, B Wold, Yanbao Yu, John A. Wrobel, Brian A. Risk, Harsha P. Gunawardena, Heather Kuiper, Christopher Maier, Ling Xie, Xian Chen, Tarjei S. Mikkelsen, Shawn Gillespie",article,11.0,100
A5049274599,Jonathan E. Boyson,2011-03-27,2011,translational control of nkt cell cytokine production by p38 mapk,28,https://doi.org/10.4049/jimmunol.1002614,W2099465141,"Viswas Konasagara Nagaleekar, Guadalupe Sabio, Idil Aktan, Alan Chant, Isaac W. Howe, Tina M. Thornton, Patrick J. Benoit, Roger J. Davis, Mercedes Rincón, Jonathan E. Boyson",article,20.0,10
A5001775538,Hugh Garavan,2017-06-29,2017,psychosocial stress and brain function in adolescent psychopathology,52,https://doi.org/10.1176/appi.ajp.2017.16040464,W2609259616,"Erin Burke Quinlan, Anna Cattrell, Tianye Jia, Éric Artiges, Tobias Banaschewski, Gareth J. Barker, Arun L.W. Bokde, Uli Bromberg, Christian Büchel, Rüdiger Brühl, Patricia Conrod, Sylvane Desrivières, Herta Flor, Vincent Frouin, Jürgen Gallinat, Hugh Garavan, Penny Gowland, Andreas Heinz, Jean‐Luc Martinot, Marie‐Laure Paillère Martinot, Frauke Nees, Dimitri Papadopoulos Orfanos, Tomáš Paus, Luise Poustka, Michael N. Smolka, Nora C. Vetter, Henrik Walter, Robert Whelan, Jeffrey Glennon, Jan K. Buitelaar, Francesca Happé, Eva Loth, Edward D. Barker, Günter Schumann",article,25.0,34
